axis_id,t,position,velocity,accel,force
axis_0,0.0,0.006094341595088627,62.831853071795855,-0.0,4.774024510073246
axis_0,0.01,0.6074729143758989,62.81807300811113,-2.755911992669881,4.698474774264817
axis_0,0.02,1.2712786357921178,62.77673886144832,-5.510615151256034,5.2798183923188535
axis_0,0.03,1.902526880207225,62.707868762330264,-8.262901171909311,5.220112986941473
axis_0,0.04,2.471314596196388,62.611492919458605,-11.011562811017154,4.42312099119331
axis_0,0.05,3.1098103078923574,62.487653606463276,-13.755394414740529,5.718131822183349
axis_0,0.06,3.7625538149924727,62.336405143359904,-16.493192447853563,5.140902562671039
axis_0,0.07,4.376166005025477,62.15781387272319,-19.223756021653866,4.663658995235757
axis_0,0.08,5.002726378332982,61.951958130586945,-21.945887420711987,5.84454517725109
axis_0,0.09,5.604378559020266,61.71892821208326,-24.658392628229024,5.5939097576766645
axis_0,0.1,6.254938684030036,61.458826331836114,-27.360081849771824,4.679596540252683
axis_0,0.11,6.86608194202825,61.17176657912661,-30.049770035156154,6.231117725294846
axis_0,0.12,7.462017228896867,60.857874867849716,-32.726277398248875,5.702433514930378
axis_0,0.13,8.090139442597332,60.51728888128422,-35.38842993446116,5.398281673110375
axis_0,0.14,8.680304095179189,60.150158011700285,-38.03505993570563,6.228657098227597
axis_0,0.15,9.253323981990755,59.756643294831115,-40.6650065025918,5.543174383477241
axis_0,0.16,9.873374417839146,59.336917339237296,-43.27711605363493,5.479258432555859
axis_0,0.17,10.437983767637876,58.89116425059503,-45.87024283125486,5.192708012971728
axis_0,0.18,11.061305586566482,58.419579550941286,-48.443249404343305,5.843112048680556
axis_0,0.19,11.624469075343361,57.922370092911336,-50.99500716717864,5.8195748633401445
axis_0,0.2,12.1984020450031,57.399753969006404,-53.524396834469705,5.617445034558556
axis_0,0.21,12.759760156064099,56.85196041593106,-56.03030893231132,5.243675760413807
axis_0,0.22,13.363506202321304,56.27922971404243,-58.511644284836194,5.731917695860428
axis_0,0.23,13.895790463954475,55.68181308195528,-60.967314496349815,5.660044659798723
axis_0,0.24,14.444043666608195,55.05997256634926,-63.39624242873675,5.055893351785473
axis_0,0.25,14.992957328990233,54.41398092702653,-65.79736267392903,5.014093824337907
axis_0,0.26,15.551456464904973,53.744121517270315,-68.16962202122937,6.0596172034645805
axis_0,0.27,16.082112730657183,53.050688159556806,-70.51197991928413,4.502796034942651
axis_0,0.28,16.610001129532243,52.33398501667487,-72.82340893250355,5.932792587345646
axis_0,0.29,17.130023450593104,51.594326458310256,-75.10289519172899,5.617028822649735
axis_0,0.3,17.6763905207916,50.83203692315259,-77.34943883894947,6.535801181878665
axis_0,0.31,18.129845145543552,50.047450776585904,-79.56205446587231,5.660164567716624
axis_0,0.32,18.62418855376788,49.240912164024884,-81.73977154615595,6.261463777543413
